REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
3,6,01,Alabama,2,1,2,617667,618835,621680,623616,626494,630827,635793,645025,651326,658530,662967,666284,667757
3,6,01,Alabama,2,1,3,10880,10963,11140,11313,11572,11784,11960,12246,12588,12775,12996,13229,13262
3,6,01,Alabama,2,1,4,16716,16919,17627,18461,19476,20810,22185,23557,24771,25987,27450,28279,28423
3,6,01,Alabama,2,1,5,553,554,583,624,647,715,725,781,791,844,898,970,968
3,6,01,Alabama,2,1,6,17944,18132,19178,20089,21050,22160,23341,24681,26019,27601,29105,30044,30169
3,6,01,Alabama,2,2,0,32709,33147,37034,40803,44927,49391,54551,60364,66377,72259,77734,81819,82343
3,6,01,Alabama,2,2,1,27338,27641,30813,33972,37322,41092,45414,50401,55547,60399,64861,68103,68494
3,6,01,Alabama,2,2,2,3791,3824,3987,4095,4269,4425,4685,4914,5142,5521,5836,6076,6101
3,6,01,Alabama,2,2,3,493,549,766,982,1194,1405,1615,1849,2070,2314,2633,2881,2892
3,6,01,Alabama,2,2,4,247,250,297,329,373,430,450,492,561,610,644,720,722
3,6,01,Alabama,2,2,5,159,188,298,393,498,600,713,814,928,1057,1177,1269,1263
3,6,01,Alabama,2,2,6,681,695,873,1032,1271,1439,1674,1894,2129,2358,2583,2770,2871
4,9,02,Alaska,0,0,0,626933,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,710231,713985
4,9,02,Alaska,0,0,1,446431,446506,448602,452784,454912,460845,464201,468452,469996,472582,477369,483873,485944
4,9,02,Alaska,0,0,2,22909,22843,23269,23838,23633,23841,23577,23544,23785,23955,23979,24441,24582
4,9,02,Alaska,0,0,3,98743,98931,99332,99969,100717,101835,102888,103603,103803,104406,105769,106268,106911
4,9,02,Alaska,0,0,4,25695,26007,27198,28482,29929,31077,32350,33258,34072,35488,37726,38882,39225
4,9,02,Alaska,0,0,5,3425,3490,3819,4257,4695,5073,5488,5784,6169,6589,7191,7662,7693
4,9,02,Alaska,0,0,6,29730,30186,31494,33007,34528,36615,38442,40661,42475,44435,46861,49105,49630
4,9,02,Alaska,0,1,0,601081,602000,605725,612394,616997,626407,632524,639797,644071,650199,660663,670982,674115
4,9,02,Alaska,0,1,1,426367,426371,427257,430259,431601,436721,439277,443017,444259,446429,450661,456394,458206
4,9,02,Alaska,0,1,2,21295,21214,21525,22014,21786,21895,21579,21508,21667,21775,21723,22157,22270
4,9,02,Alaska,0,1,3,96891,97082,97176,97482,97992,98883,99703,100292,100427,100932,102248,102747,103350
4,9,02,Alaska,0,1,4,25156,25466,26542,27740,29066,30183,31402,32249,33103,34381,36610,37747,38079
4,9,02,Alaska,0,1,5,3242,3307,3586,3973,4383,4733,5112,5387,5781,6172,6781,7273,7293
4,9,02,Alaska,0,1,6,28130,28560,29639,30926,32169,33992,35451,37344,38834,40510,42640,44664,44917
4,9,02,Alaska,0,2,0,25852,25963,27989,29943,31417,32879,34422,35505,36229,37256,38232,39249,39870
4,9,02,Alaska,0,2,1,20064,20135,21345,22525,23311,24124,24924,25435,25737,26153,26708,27479,27738
4,9,02,Alaska,0,2,2,1614,1629,1744,1824,1847,1946,1998,2036,2118,2180,2256,2284,2312
4,9,02,Alaska,0,2,3,1852,1849,2156,2487,2725,2952,3185,3311,3376,3474,3521,3521,3561
4,9,02,Alaska,0,2,4,539,541,656,742,863,894,948,1009,969,1107,1116,1135,1146
4,9,02,Alaska,0,2,5,183,183,233,284,312,340,376,397,388,417,410,389,400
4,9,02,Alaska,0,2,6,1600,1626,1855,2081,2359,2623,2991,3317,3641,3925,4221,4441,4713
4,9,02,Alaska,1,0,0,324112,324750,328135,332704,335380,341479,346026,350181,353162,358043,361893,369628,371632
4,9,02,Alaska,1,0,1,233718,233889,235348,237761,238487,241969,244110,246372,247577,249773,250757,255585,256704
4,9,02,Alaska,1,0,2,12053,12030,12381,12681,12462,12701,12717,12639,12898,13171,12897,13469,13555
4,9,02,Alaska,1,0,3,49583,49679,49876,50234,50660,51307,51959,52313,52365,52805,53449,53728,54055
4,9,02,Alaska,1,0,4,12038,12179,12696,13261,13968,14523,15108,15530,15858,16548,17645,18257,18413
4,9,02,Alaska,1,0,5,1744,1775,1928,2144,2377,2634,2771,2944,3153,3373,3596,3910,3934
4,9,02,Alaska,1,0,6,14976,15198,15906,16623,17426,18345,19361,20383,21311,22373,23549,24679,24971
4,9,02,Alaska,1,1,0,310844,311430,313693,317219,319190,324537,328204,331778,334501,338749,342422,349500,351163
4,9,02,Alaska,1,1,1,223284,223420,224173,225976,226338,229427,231183,233184,234304,236237,237151,241529,242518
4,9,02,Alaska,1,1,2,11269,11243,11532,11798,11574,11747,11696,11606,11828,12076,11817,12346,12412
4,9,02,Alaska,1,1,3,48664,48762,48795,48976,49259,49789,50314,50558,50605,50942,51589,51865,52169
4,9,02,Alaska,1,1,4,11768,11907,12363,12864,13511,14065,14608,15000,15322,15964,17053,17633,17785
4,9,02,Alaska,1,1,5,1657,1688,1812,2007,2223,2457,2576,2738,2961,3182,3411,3730,3746
4,9,02,Alaska,1,1,6,14202,14410,15018,15598,16285,17052,17827,18692,19481,20348,21401,22397,22533
4,9,02,Alaska,1,2,0,13268,13320,14442,15485,16190,16942,17822,18403,18661,19294,19471,20128,20469
4,9,02,Alaska,1,2,1,10434,10469,11175,11785,12149,12542,12927,13188,13273,13536,13606,14056,14186
4,9,02,Alaska,1,2,2,784,787,849,883,888,954,1021,1033,1070,1095,1080,1123,1143
4,9,02,Alaska,1,2,3,919,917,1081,1258,1401,1518,1645,1755,1760,1863,1860,1863,1886
4,9,02,Alaska,1,2,4,270,272,333,397,457,458,500,530,536,584,592,624,628
4,9,02,Alaska,1,2,5,87,87,116,137,154,177,195,206,192,191,185,180,188
4,9,02,Alaska,1,2,6,774,788,888,1025,1141,1293,1534,1691,1830,2025,2148,2282,2438
4,9,02,Alaska,2,0,0,302821,303213,305579,309633,313034,317807,320920,325121,327138,329412,337002,340603,342353
4,9,02,Alaska,2,0,1,212713,212617,213254,215023,216425,218876,220091,222080,222419,222809,226612,228288,229240
4,9,02,Alaska,2,0,2,10856,10813,10888,11157,11171,11140,10860,10905,10887,10784,11082,10972,11027
4,9,02,Alaska,2,0,3,49160,49252,49456,49735,50057,50528,50929,51290,51438,51601,52320,52540,52856
4,9,02,Alaska,2,0,4,13657,13828,14502,15221,15961,16554,17242,17728,18214,18940,20081,20625,20812
4,9,02,Alaska,2,0,5,1681,1715,1891,2113,2318,2439,2717,2840,3016,3216,3595,3752,3759
4,9,02,Alaska,2,0,6,14754,14988,15588,16384,17102,18270,19081,20278,21164,22062,23312,24426,24659
4,9,02,Alaska,2,1,0,290237,290570,292032,295175,297807,301870,304320,308019,309570,311450,318241,321482,322952
4,9,02,Alaska,2,1,1,203083,202951,203084,204283,205263,207294,208094,209833,209955,210192,213510,214865,215688
4,9,02,Alaska,2,1,2,10026,9971,9993,10216,10212,10148,9883,9902,9839,9699,9906,9811,9858
4,9,02,Alaska,2,1,3,48227,48320,48381,48506,48733,49094,49389,49734,49822,49990,50659,50882,51181
4,9,02,Alaska,2,1,4,13388,13559,14179,14876,15555,16118,16794,17249,17781,18417,19557,20114,20294
4,9,02,Alaska,2,1,5,1585,1619,1774,1966,2160,2276,2536,2649,2820,2990,3370,3543,3547
4,9,02,Alaska,2,1,6,13928,14150,14621,15328,15884,16940,17624,18652,19353,20162,21239,22267,22384
4,9,02,Alaska,2,2,0,12584,12643,13547,14458,15227,15937,16600,17102,17568,17962,18761,19121,19401
4,9,02,Alaska,2,2,1,9630,9666,10170,10740,11162,11582,11997,12247,12464,12617,13102,13423,13552
4,9,02,Alaska,2,2,2,830,842,895,941,959,992,977,1003,1048,1085,1176,1161,1169
4,9,02,Alaska,2,2,3,933,932,1075,1229,1324,1434,1540,1556,1616,1611,1661,1658,1675
4,9,02,Alaska,2,2,4,269,269,323,345,406,436,448,479,433,523,524,511,518
4,9,02,Alaska,2,2,5,96,96,117,147,158,163,181,191,196,226,225,209,212
4,9,02,Alaska,2,2,6,826,838,967,1056,1218,1330,1457,1626,1811,1900,2073,2159,2275
4,8,04,Arizona,0,0,0,5130247,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6392017,6413737
4,8,04,Arizona,0,0,1,4518143,4542461,4629736,4723484,4808335,4915749,5057542,5196133,5290642,5361814,5391934,5418483,5435779
4,8,04,Arizona,0,0,2,168952,170022,177795,186140,194179,205171,218998,235636,249757,263512,274594,280905,281942
4,8,04,Arizona,0,0,3,266542,268184,271935,277602,283724,290212,298844,308302,316798,325262,330731,335278,336476
4,8,04,Arizona,0,0,4,97677,99270,106209,113754,121029,129542,141711,156142,167344,176686,183714,188456,189630
4,8,04,Arizona,0,0,5,8552,8746,9348,9961,10645,11297,12384,13312,14357,15163,15728,16112,16185
4,8,04,Arizona,0,0,6,70381,71903,78454,85314,92452,100433,109598,119616,128783,137925,146453,152783,153725
4,8,04,Arizona,0,1,0,3834631,3851197,3906561,3969818,4029456,4111398,4220738,4327178,4394036,4449496,4476334,4496868,4504823
4,8,04,Arizona,0,1,1,3291673,3303962,3341475,3384155,3423719,3481436,3557990,3626365,3662620,3690345,3697254,3705038,3709615
4,8,04,Arizona,0,1,2,152119,152868,158955,165509,171619,180398,191685,205279,216675,227716,236554,240946,241661
4,8,04,Arizona,0,1,3,236056,237071,237858,240182,242579,244897,248601,252534,255265,257690,257580,258184,258929
4,8,04,Arizona,0,1,4,91299,92690,99053,105993,112539,120138,131191,144499,154566,162847,168607,172403,173480
4,8,04,Arizona,0,1,5,5870,6010,6416,6831,7366,7732,8499,9158,9836,10333,10810,11154,11201
4,8,04,Arizona,0,1,6,57614,58596,62804,67148,71634,76797,82772,89343,95074,100565,105529,109143,109937
4,8,04,Arizona,0,2,0,1295616,1309389,1366916,1426437,1480908,1541006,1618339,1701963,1773645,1830866,1866820,1895149,1908914
4,8,04,Arizona,0,2,1,1226470,1238499,1288261,1339329,1384616,1434313,1499552,1569768,1628022,1671469,1694680,1713445,1726164
4,8,04,Arizona,0,2,2,16833,17154,18840,20631,22560,24773,27313,30357,33082,35796,38040,39959,40281
4,8,04,Arizona,0,2,3,30486,31113,34077,37420,41145,45315,50243,55768,61533,67572,73151,77094,77547
4,8,04,Arizona,0,2,4,6378,6580,7156,7761,8490,9404,10520,11643,12778,13839,15107,16053,16150
4,8,04,Arizona,0,2,5,2682,2736,2932,3130,3279,3565,3885,4154,4521,4830,4918,4958,4984
4,8,04,Arizona,0,2,6,12767,13307,15650,18166,20818,23636,26826,30273,33709,37360,40924,43640,43788
4,8,04,Arizona,1,0,0,2560865,2576007,2631801,2692038,2746287,2816798,2908266,3003007,3070683,3125084,3153246,3175823,3187204
4,8,04,Arizona,1,0,1,2256517,2268595,2311494,2357156,2397192,2450178,2519368,2588419,2634002,2667658,2679632,2691009,2700120
4,8,04,Arizona,1,0,2,88503,89116,93169,97529,101428,107233,114395,123115,130377,137585,143213,146394,146983
4,8,04,Arizona,1,0,3,130453,131287,133338,136243,139304,142742,147073,151822,156264,160490,163311,165721,166333
4,8,04,Arizona,1,0,4,45902,46636,49827,53235,56649,60519,66133,72927,78171,82712,85909,88100,88637
4,8,04,Arizona,1,0,5,4483,4588,4940,5345,5705,6058,6670,7161,7740,8160,8501,8689,8732
4,8,04,Arizona,1,0,6,35007,35785,39033,42530,46009,50068,54627,59563,64129,68479,72680,75910,76399
4,8,04,Arizona,1,1,0,1891100,1899663,1927158,1958576,1987247,2029077,2083323,2137937,2171829,2199892,2213304,2224033,2228281
4,8,04,Arizona,1,1,1,1621746,1628148,1646794,1668014,1687086,1716660,1754719,1790342,1808894,1823252,1826794,1831287,1833818
4,8,04,Arizona,1,1,2,80182,80634,83774,87285,90247,94974,100862,108103,114054,119888,124507,126699,127117
4,8,04,Arizona,1,1,3,114687,115172,115683,116783,117933,119145,120975,122846,124313,125454,125389,125747,126118
4,8,04,Arizona,1,1,4,42755,43394,46289,49379,52419,55857,60936,67212,71923,75849,78455,80142,80632
4,8,04,Arizona,1,1,5,3113,3193,3451,3749,4025,4244,4684,5086,5460,5706,6007,6197,6226
4,8,04,Arizona,1,1,6,28617,29122,31167,33366,35537,38197,41147,44348,47185,49743,52152,53961,54370
4,8,04,Arizona,1,2,0,669765,676344,704643,733462,759040,787721,824943,865070,898854,925192,939942,951790,958923
4,8,04,Arizona,1,2,1,634771,640447,664700,689142,710106,733518,764649,798077,825108,844406,852838,859722,866302
4,8,04,Arizona,1,2,2,8321,8482,9395,10244,11181,12259,13533,15012,16323,17697,18706,19695,19866
