State Code,State,Year Code,Month Code,Deaths
45,South Carolina,2012,2012/09,47
45,South Carolina,2012,2012/10,31
45,South Carolina,2012,2012/11,46
45,South Carolina,2012,2012/12,24
45,South Carolina,2013,2013/01,45
45,South Carolina,2013,2013/02,48
45,South Carolina,2013,2013/03,41
45,South Carolina,2013,2013/04,40
45,South Carolina,2013,2013/05,36
45,South Carolina,2013,2013/06,32
45,South Carolina,2013,2013/07,33
45,South Carolina,2013,2013/08,40
45,South Carolina,2013,2013/09,41
45,South Carolina,2013,2013/10,41
45,South Carolina,2013,2013/11,39
45,South Carolina,2013,2013/12,35
45,South Carolina,2014,2014/01,33
45,South Carolina,2014,2014/02,38
45,South Carolina,2014,2014/03,33
45,South Carolina,2014,2014/04,45
45,South Carolina,2014,2014/05,47
45,South Carolina,2014,2014/06,37
45,South Carolina,2014,2014/07,37
45,South Carolina,2014,2014/08,42
45,South Carolina,2014,2014/09,43
45,South Carolina,2014,2014/10,47
45,South Carolina,2014,2014/11,42
45,South Carolina,2014,2014/12,35
45,South Carolina,2015,2015/01,40
45,South Carolina,2015,2015/02,41
45,South Carolina,2015,2015/03,36
45,South Carolina,2015,2015/04,38
45,South Carolina,2015,2015/05,39
45,South Carolina,2015,2015/06,34
45,South Carolina,2015,2015/07,36
45,South Carolina,2015,2015/08,35
45,South Carolina,2015,2015/09,50
45,South Carolina,2015,2015/10,41
45,South Carolina,2015,2015/11,36
45,South Carolina,2015,2015/12,43
45,South Carolina,2016,2016/01,44
45,South Carolina,2016,2016/02,38
45,South Carolina,2016,2016/03,52
45,South Carolina,2016,2016/04,47
45,South Carolina,2016,2016/05,31
45,South Carolina,2016,2016/06,33
45,South Carolina,2016,2016/07,46
45,South Carolina,2016,2016/08,40
45,South Carolina,2016,2016/09,63
45,South Carolina,2016,2016/10,53
45,South Carolina,2016,2016/11,38
45,South Carolina,2016,2016/12,40
46,South Dakota,2003,2003/03,10
46,South Dakota,2005,2005/11,10
46,South Dakota,2006,2006/04,11
46,South Dakota,2008,2008/11,10
46,South Dakota,2009,2009/02,10
46,South Dakota,2013,2013/11,10
46,South Dakota,2015,2015/09,10
